n	t_ms	AcY	AcY_offset	AcZ	roll	gyroXrate	compX	e	edot
512.0	3502.66	-720.0	-1109.0	15028.0	-4.22	5.98	-4.44	-4.44	6.14
513.0	3509.27	-780.0	-1169.0	15076.0	-4.43	7.4	-4.39	-4.39	7.37
514.0	3515.88	-624.0	-1013.0	15136.0	-3.83	8.6	-4.33	-4.33	8.98
515.0	3522.5	-544.0	-933.0	15112.0	-3.53	9.34	-4.26	-4.26	9.89
516.0	3529.06	-564.0	-953.0	15260.0	-3.57	10.11	-4.19	-4.19	10.59
517.0	3535.71	-344.0	-733.0	15396.0	-2.73	10.72	-4.12	-4.12	11.77
518.0	3542.4	-220.0	-609.0	15344.0	-2.27	11.64	-4.03	-4.03	12.96
519.0	3549.04	-380.0	-769.0	15476.0	-2.84	13.02	-3.94	-3.94	13.84
520.0	3555.71	1596.0	1207.0	15128.0	4.56	14.17	-3.8	-3.8	20.47
521.0	3562.45	1844.0	1455.0	15456.0	5.38	15.69	-3.65	-3.65	22.42
522.0	3569.21	584.0	195.0	15436.0	0.72	16.44	-3.52	-3.52	19.59
523.0	3575.88	-116.0	-505.0	15148.0	-1.91	17.23	-3.39	-3.39	18.35
524.0	3582.57	-136.0	-525.0	15240.0	-1.97	17.29	-3.27	-3.27	18.27
525.0	3589.24	132.0	-257.0	15152.0	-0.97	16.83	-3.15	-3.15	18.47
526.0	3595.92	616.0	227.0	15192.0	0.86	16.32	-3.02	-3.02	19.24
527.0	3602.57	668.0	279.0	15312.0	1.04	15.9	-2.89	-2.89	18.87
528.0	3609.22	348.0	-41.0	15300.0	-0.15	15.32	-2.78	-2.78	17.31
529.0	3615.84	420.0	31.0	15084.0	0.12	14.75	-2.67	-2.67	16.86
530.0	3622.48	388.0	-1.0	15356.0	-0.0	14.08	-2.56	-2.56	16.01
531.0	3629.06	640.0	251.0	15348.0	0.94	13.28	-2.46	-2.46	15.88
532.0	3635.72	912.0	523.0	15364.0	1.95	12.34	-2.35	-2.35	15.58
533.0	3642.38	760.0	371.0	15424.0	1.38	11.63	-2.26	-2.26	14.38
534.0	3649.05	916.0	527.0	15208.0	1.98	10.6	-2.17	-2.17	13.73
535.0	3655.71	1036.0	647.0	15252.0	2.43	9.57	-2.08	-2.08	12.98
536.0	3662.34	1168.0	779.0	15408.0	2.89	8.32	-2.0	-2.0	12.03
537.0	3668.95	1100.0	711.0	15096.0	2.7	7.05	-1.93	-1.93	10.57
538.0	3675.6	1160.0	771.0	15312.0	2.88	5.51	-1.87	-1.87	9.1
539.0	3682.17	1072.0	683.0	15300.0	2.56	3.98	-1.82	-1.82	7.33
540.0	3688.78	1160.0	771.0	15336.0	2.88	2.05	-1.78	-1.78	5.6
541.0	3695.37	1288.0	899.0	15308.0	3.36	-0.2	-1.76	-1.76	3.71
542.0	3701.94	1412.0	1023.0	15284.0	3.83	-2.56	-1.75	-1.75	1.7
543.0	3708.58	1600.0	1211.0	15144.0	4.57	-5.81	-1.76	-1.76	-1.02
544.0	3715.24	1728.0	1339.0	15352.0	4.98	-8.61	-1.78	-1.78	-3.5
545.0	3721.88	2232.0	1843.0	15220.0	6.9	-12.43	-1.82	-1.82	-5.83
546.0	3728.59	2184.0	1795.0	14964.0	6.84	-16.89	-1.89	-1.89	-10.35
547.0	3735.37	2056.0	1667.0	15080.0	6.31	-22.97	-2.0	-2.0	-16.81
548.0	3742.12	1752.0	1363.0	15012.0	5.19	-29.75	-2.17	-2.17	-24.28
549.0	3748.92	1704.0	1315.0	15316.0	4.91	-36.9	-2.38	-2.38	-31.51
550.0	3755.71	1776.0	1387.0	15316.0	5.17	-45.33	-2.65	-2.65	-39.54
551.0	3762.49	2008.0	1619.0	15228.0	6.07	-53.83	-2.97	-2.97	-47.14
552.0	3769.28	2088.0	1699.0	15200.0	6.38	-62.72	-3.34	-3.34	-55.52
553.0	3776.08	1624.0	1235.0	15032.0	4.7	-71.92	-3.79	-3.79	-65.65
554.0	3782.83	1352.0	963.0	15200.0	3.63	-80.37	-4.29	-4.29	-74.48
555.0	3789.56	1708.0	1319.0	15252.0	4.94	-88.56	-4.84	-4.84	-81.25
556.0	3796.32	1592.0	1203.0	15588.0	4.41	-96.18	-5.44	-5.44	-88.86
557.0	3803.1	1432.0	1043.0	15336.0	3.89	-102.84	-6.09	-6.09	-95.44
558.0	3809.91	1044.0	655.0	15636.0	2.4	-111.76	-6.8	-6.8	-104.97
559.0	3816.74	-628.0	-1017.0	15292.0	-3.8	-118.07	-7.59	-7.59	-115.28
560.0	3823.56	-100.0	-489.0	15072.0	-1.86	-126.22	-8.42	-8.42	-121.39
561.0	3830.39	-284.0	-673.0	15272.0	-2.52	-133.92	-9.3	-9.3	-128.94
562.0	3837.2	-364.0	-753.0	15456.0	-2.79	-140.97	-10.22	-10.22	-135.49
563.0	3844.13	-1036.0	-1425.0	15008.0	-5.42	-148.47	-11.22	-11.22	-144.26
564.0	3851.14	-1796.0	-2185.0	15116.0	-8.23	-155.61	-12.29	-12.29	-152.7
565.0	3858.16	-1960.0	-2349.0	14976.0	-8.91	-161.99	-13.41	-13.41	-158.78
566.0	3865.2	-708.0	-1097.0	14900.0	-4.21	-165.07	-14.52	-14.52	-157.71
567.0	3872.17	-220.0	-609.0	15628.0	-2.23	-166.51	-15.61	-15.61	-156.87
568.0	3879.1	-2596.0	-2985.0	15896.0	-10.64	-168.83	-16.75	-16.75	-164.4
569.0	3886.16	-3208.0	-3597.0	14628.0	-13.81	-168.71	-17.92	-17.92	-165.79
570.0	3893.26	-3924.0	-4313.0	14944.0	-16.1	-167.38	-19.09	-19.09	-165.26
571.0	3900.35	-4208.0	-4597.0	14264.0	-17.86	-162.81	-20.24	-20.24	-161.13
572.0	3907.44	-4884.0	-5273.0	14464.0	-20.03	-155.9	-21.33	-21.33	-154.98
573.0	3914.52	-4392.0	-4781.0	13884.0	-19.0	-146.11	-22.35	-22.35	-143.73
574.0	3921.61	-10132.0	-10521.0	15912.0	-33.47	-138.78	-23.39	-23.39	-145.93
575.0	3928.79	-10876.0	-11265.0	12584.0	-41.83	-128.98	-24.4	-24.4	-141.17
576.0	3935.98	-9628.0	-10017.0	11320.0	-41.51	-111.59	-25.28	-25.28	-122.93
577.0	3943.11	-7944.0	-8333.0	12924.0	-32.81	-100.42	-26.03	-26.03	-105.2
578.0	3950.18	-6896.0	-7285.0	14384.0	-26.86	-86.24	-26.65	-26.65	-86.4
579.0	3957.2	-7848.0	-8237.0	14104.0	-30.29	-72.79	-27.17	-27.17	-75.03
580.0	3964.16	-9692.0	-10081.0	13080.0	-37.62	-56.09	-27.61	-27.61	-63.31
581.0	3971.22	-10052.0	-10441.0	12088.0	-40.82	-39.07	-27.95	-27.95	-48.23
582.0	3978.3	-9364.0	-9753.0	13224.0	-36.41	-22.51	-28.15	-28.15	-28.37
583.0	3985.28	-9316.0	-9705.0	13356.0	-36.0	-8.37	-28.25	-28.25	-13.94
584.0	3992.21	-9916.0	-10305.0	12500.0	-39.5	5.92	-28.27	-28.27	-2.23
585.0	3999.11	-9452.0	-9841.0	12312.0	-38.64	19.48	-28.18	-28.18	11.87
586.0	4006.06	-9388.0	-9777.0	12332.0	-38.41	33.11	-28.01	-28.01	25.59
587.0	4013.0	-9124.0	-9513.0	12824.0	-36.57	45.42	-27.74	-27.74	39.02
588.0	4019.96	-8440.0	-8829.0	13096.0	-33.99	56.78	-27.37	-27.37	52.01
589.0	4026.92	-8484.0	-8873.0	13164.0	-33.98	68.63	-26.93	-26.93	63.54
590.0	4033.86	-8840.0	-9229.0	13236.0	-34.89	78.69	-26.43	-26.43	72.56
591.0	4040.81	-8448.0	-8837.0	13516.0	-33.18	88.58	-25.85	-25.85	83.28
592.0	4047.78	-8600.0	-8989.0	13108.0	-34.44	96.68	-25.22	-25.22	90.03
593.0	4054.72	-8748.0	-9137.0	13144.0	-34.8	105.34	-24.54	-24.54	97.91
594.0	4061.69	-7080.0	-7469.0	13244.0	-29.42	113.13	-23.78	-23.78	109.07
595.0	4068.73	-7776.0	-8165.0	13856.0	-30.51	118.63	-22.98	-22.98	113.25
596.0	4075.79	-6664.0	-7053.0	13820.0	-27.04	124.24	-22.13	-22.13	120.75
597.0	4082.86	-6812.0	-7201.0	13740.0	-27.66	131.69	-21.23	-21.23	127.12
598.0	4089.92	-6392.0	-6781.0	14216.0	-25.5	137.02	-20.29	-20.29	133.31
599.0	4096.98	-5852.0	-6241.0	14472.0	-23.33	141.7	-19.31	-19.31	138.84
600.0	4104.04	-9044.0	-9433.0	14436.0	-33.16	150.83	-18.32	-18.32	140.26
601.0	4111.09	-2948.0	-3337.0	14664.0	-12.82	150.79	-17.24	-17.24	153.93
602.0	4118.16	-2660.0	-3049.0	16136.0	-10.7	155.4	-16.11	-16.11	159.25
603.0	4125.21	-3980.0	-4369.0	14572.0	-16.69	157.31	-15.01	-15.01	156.11
604.0	4132.25	-3256.0	-3645.0	14700.0	-13.93	161.29	-13.87	-13.87	161.25
605.0	4139.29	-2760.0	-3149.0	14824.0	-11.99	163.61	-12.72	-12.72	164.13
606.0	4146.36	-1860.0	-2249.0	15172.0	-8.43	162.87	-11.55	-11.55	165.09
607.0	4153.36	-1444.0	-1833.0	15284.0	-6.84	162.73	-10.4	-10.4	165.28
608.0	4160.33	-844.0	-1233.0	15284.0	-4.61	160.4	-9.25	-9.25	163.75
609.0	4167.15	-664.0	-1053.0	15352.0	-3.92	155.87	-8.17	-8.17	159.0
610.0	4173.98	-1180.0	-1569.0	15480.0	-5.79	150.33	-7.14	-7.14	151.32
611.0	4180.87	-736.0	-1125.0	14996.0	-4.29	144.47	-6.13	-6.13	145.82
612.0	4187.7	588.0	199.0	15692.0	0.73	136.37	-5.17	-5.17	140.72
613.0	4194.47	2460.0	2071.0	16604.0	7.11	130.31	-4.23	-4.23	138.72
614.0	4201.35	-280.0	-669.0	13388.0	-2.86	125.75	-3.36	-3.36	126.12
615.0	4208.16	588.0	199.0	16532.0	0.69	117.85	-2.55	-2.55	120.24
616.0	4214.92	2260.0	1871.0	15376.0	6.94	109.76	-1.76	-1.76	116.21
617.0	4221.81	2036.0	1647.0	15080.0	6.23	101.77	-1.02	-1.02	107.06
618.0	4228.69	2756.0	2367.0	15252.0	8.82	92.06	-0.34	-0.34	98.75
619.0	4235.45	2856.0	2467.0	14796.0	9.47	84.93	0.28	0.28	91.77
620.0	4242.18	3544.0	3155.0	15396.0	11.58	75.58	0.84	0.84	83.6
621.0	4248.99	3624.0	3235.0	14808.0	12.32	68.04	1.36	1.36	76.13
622.0	4255.82	2092.0	1703.0	15348.0	6.33	59.76	1.79	1.79	63.11
623.0	4262.56	4244.0	3855.0	14392.0	15.0	52.23	2.21	2.21	61.76
624.0	4269.4	4280.0	3891.0	14568.0	14.95	45.07	2.58	2.58	54.17
625.0	4276.21	3684.0	3295.0	14908.0	12.46	36.78	2.88	2.88	43.85
626.0	4283.01	3356.0	2967.0	15160.0	11.07	29.82	3.12	3.12	35.69
627.0	4289.84	3540.0	3151.0	14708.0	12.09	22.55	3.32	3.32	29.01
628.0	4296.67	4232.0	3843.0	14808.0	14.55	15.32	3.48	3.48	23.46
629.0	4303.5	3944.0	3555.0	15124.0	13.23	9.42	3.59	3.59	16.52
630.0	4310.26	3932.0	3543.0	15256.0	13.07	3.69	3.66	3.66	10.68
631.0	4317.0	3864.0	3475.0	14732.0	13.27	-1.76	3.7	3.7	5.39
632.0	4323.69	4548.0	4159.0	14556.0	15.95	-6.62	3.72	3.72	2.57
633.0	4330.4	4184.0	3795.0	14912.0	14.28	-11.0	3.69	3.69	-3.08
634.0	4337.14	3808.0	3419.0	15096.0	12.76	-14.88	3.64	3.64	-8.08
635.0	4343.9	2908.0	2519.0	15144.0	9.44	-18.93	3.54	3.54	-14.54
636.0	4350.66	3144.0	2755.0	14732.0	10.59	-20.6	3.44	3.44	-15.28
637.0	4357.48	3380.0	2991.0	14932.0	11.33	-22.35	3.33	3.33	-16.46
638.0	4364.31	3676.0	3287.0	14864.0	12.47	-24.4	3.21	3.21	-17.59
639.0	4371.13	3012.0	2623.0	14752.0	10.08	-25.05	3.07	3.07	-19.88
640.0	4377.92	2792.0	2403.0	14972.0	9.12	-26.2	2.92	2.92	-21.62
641.0	4384.69	2420.0	2031.0	14840.0	7.79	-27.07	2.77	2.77	-23.34
642.0	4391.46	2364.0	1975.0	15092.0	7.46	-27.94	2.6	2.6	-24.33
643.0	4398.22	2132.0	1743.0	15024.0	6.62	-28.5	2.43	2.43	-25.38
644.0	4404.98	2216.0	1827.0	15104.0	6.9	-29.24	2.26	2.26	-25.79
645.0	4411.74	1812.0	1423.0	15008.0	5.42	-29.34	2.07	2.07	-26.85
646.0	4418.51	1628.0	1239.0	15088.0	4.69	-29.08	1.89	1.89	-26.99
647.0	4425.26	1484.0	1095.0	15340.0	4.08	-28.97	1.71	1.71	-27.2
648.0	4432.01	1616.0	1227.0	15248.0	4.6	-28.44	1.53	1.53	-26.16
649.0	4438.75	1572.0	1183.0	15260.0	4.43	-27.78	1.36	1.36	-25.49
650.0	4445.5	1064.0	675.0	15424.0	2.51	-29.46	1.17	1.17	-28.46
651.0	4452.21	116.0	-273.0	15356.0	-1.02	-27.37	0.97	0.97	-28.87
652.0	4458.88	468.0	79.0	15256.0	0.3	-28.4	0.78	0.78	-28.76
653.0	4465.46	1024.0	635.0	15416.0	2.36	-27.66	0.61	0.61	-26.33
654.0	4472.18	1768.0	1379.0	15072.0	5.23	-26.51	0.45	0.45	-22.94
655.0	4478.93	1396.0	1007.0	15320.0	3.76	-26.24	0.29	0.29	-23.66
656.0	4485.68	848.0	459.0	15340.0	1.71	-25.31	0.13	0.13	-24.13
657.0	4492.33	808.0	419.0	15424.0	1.56	-24.82	-0.03	-0.03	-23.62
658.0	4498.97	904.0	515.0	15300.0	1.93	-24.21	-0.18	-0.18	-22.61
659.0	4505.63	1148.0	759.0	15176.0	2.86	-23.73	-0.32	-0.32	-21.33
660.0	4512.34	1236.0	847.0	15228.0	3.18	-22.98	-0.45	-0.45	-20.26
661.0	4519.05	1080.0	691.0	15144.0	2.61	-22.24	-0.59	-0.59	-19.84
662.0	4525.77	804.0	415.0	15100.0	1.57	-21.84	-0.72	-0.72	-20.12
663.0	4532.45	820.0	431.0	15088.0	1.64	-21.31	-0.85	-0.85	-19.44
664.0	4539.11	776.0	387.0	15340.0	1.45	-21.25	-0.98	-0.98	-19.42
665.0	4545.78	972.0	583.0	15108.0	2.21	-21.04	-1.11	-1.11	-18.54
666.0	4552.47	856.0	467.0	15216.0	1.76	-20.82	-1.23	-1.23	-18.57
667.0	4559.13	748.0	359.0	15276.0	1.35	-20.64	-1.35	-1.35	-18.6
668.0	4565.8	664.0	275.0	15376.0	1.02	-20.63	-1.48	-1.48	-18.75
669.0	4572.46	792.0	403.0	15244.0	1.51	-19.76	-1.59	-1.59	-17.42
670.0	4579.13	812.0	423.0	15200.0	1.59	-19.51	-1.71	-1.71	-17.02
671.0	4585.8	744.0	355.0	15260.0	1.33	-19.25	-1.82	-1.82	-16.88
672.0	4592.47	452.0	63.0	15420.0	0.23	-18.64	-1.93	-1.93	-17.01
673.0	4599.09	288.0	-101.0	15232.0	-0.38	-17.94	-2.04	-2.04	-16.68
674.0	4605.76	596.0	207.0	15136.0	0.78	-17.1	-2.14	-2.14	-14.89
675.0	4612.44	496.0	107.0	15060.0	0.41	-16.6	-2.24	-2.24	-14.6
676.0	4619.12	580.0	191.0	15216.0	0.72	-15.72	-2.33	-2.33	-13.42
677.0	4625.81	364.0	-25.0	15340.0	-0.09	-15.49	-2.42	-2.42	-13.74
678.0	4632.44	440.0	51.0	15244.0	0.19	-15.06	-2.51	-2.51	-13.02
679.0	4639.07	364.0	-25.0	15248.0	-0.09	-14.8	-2.59	-2.59	-12.91
680.0	4645.69	460.0	71.0	15388.0	0.26	-14.5	-2.68	-2.68	-12.26
681.0	4652.31	296.0	-93.0	15440.0	-0.35	-14.23	-2.76	-2.76	-12.4
682.0	4658.95	396.0	7.0	15288.0	0.03	-13.57	-2.83	-2.83	-11.41
683.0	4665.52	224.0	-165.0	15256.0	-0.62	-13.25	-2.91	-2.91	-11.5
684.0	4672.2	156.0	-233.0	15240.0	-0.88	-12.69	-2.98	-2.98	-11.11
685.0	4678.87	60.0	-329.0	15232.0	-1.24	-12.02	-3.05	-3.05	-10.65
686.0	4685.49	200.0	-189.0	15280.0	-0.71	-11.33	-3.12	-3.12	-9.5
687.0	4692.16	132.0	-257.0	15324.0	-0.96	-10.61	-3.18	-3.18	-8.94
688.0	4698.82	192.0	-197.0	15252.0	-0.74	-9.79	-3.23	-3.23	-7.92
689.0	4705.42	108.0	-281.0	15200.0	-1.06	-8.95	-3.28	-3.28	-7.27
690.0	4712.01	112.0	-277.0	15320.0	-1.04	-8.25	-3.32	-3.32	-6.51
691.0	4718.58	36.0	-353.0	15144.0	-1.34	-7.5	-3.36	-3.36	-5.96
692.0	4725.11	116.0	-273.0	15288.0	-1.02	-6.92	-3.39	-3.39	-5.1
693.0	4731.68	92.0	-297.0	15224.0	-1.12	-6.27	-3.42	-3.42	-4.51
694.0	4738.21	208.0	-181.0	15200.0	-0.68	-5.79	-3.45	-3.45	-3.66
695.0	4744.79	120.0	-269.0	15336.0	-1.0	-5.25	-3.47	-3.47	-3.37
696.0	4751.35	-8.0	-397.0	15328.0	-1.48	-4.91	-3.49	-3.49	-3.37
697.0	4757.84	84.0	-305.0	15368.0	-1.14	-4.79	-3.51	-3.51	-2.95
698.0	4764.37	128.0	-261.0	15296.0	-0.98	-4.84	-3.53	-3.53	-2.88
699.0	4770.94	24.0	-365.0	15444.0	-1.35	-5.18	-3.55	-3.55	-3.5
700.0	4777.47	228.0	-161.0	15352.0	-0.6	-5.48	-3.57	-3.57	-3.19
701.0	4784.03	224.0	-165.0	15468.0	-0.61	-5.85	-3.6	-3.6	-3.56
702.0	4790.59	264.0	-125.0	15312.0	-0.47	-6.31	-3.62	-3.62	-3.9
703.0	4797.16	244.0	-145.0	15292.0	-0.54	-6.92	-3.65	-3.65	-4.54
704.0	4803.74	108.0	-281.0	14920.0	-1.08	-5.94	-3.68	-3.68	-3.95
705.0	4810.31	668.0	279.0	15948.0	1.0	-9.08	-3.71	-3.71	-5.47
706.0	4816.88	468.0	79.0	15672.0	0.29	-7.27	-3.74	-3.74	-4.19
707.0	4823.39	972.0	583.0	14416.0	2.32	-8.46	-3.77	-3.77	-3.77
708.0	4829.97	860.0	471.0	15876.0	1.7	-10.38	-3.81	-3.81	-6.18
709.0	4836.61	-212.0	-601.0	15436.0	-2.23	-10.81	-3.87	-3.87	-9.57
710.0	4843.27	180.0	-209.0	15128.0	-0.79	-12.21	-3.93	-3.93	-9.83
711.0	4849.91	208.0	-181.0	15460.0	-0.67	-12.56	-4.0	-4.0	-10.04
712.0	4856.57	272.0	-117.0	15208.0	-0.44	-12.89	-4.07	-4.07	-10.16
713.0	4863.26	-100.0	-489.0	14920.0	-1.88	-13.44	-4.15	-4.15	-11.74
714.0	4869.98	72.0	-317.0	15416.0	-1.18	-12.4	-4.22	-4.22	-10.13
715.0	4876.64	704.0	315.0	15484.0	1.17	-15.0	-4.29	-4.29	-10.88
716.0	4883.3	420.0	31.0	15320.0	0.12	-16.5	-4.38	-4.38	-13.11
717.0	4889.93	-124.0	-513.0	15288.0	-1.92	-15.95	-4.47	-4.47	-14.03
718.0	4896.63	-808.0	-1197.0	15484.0	-4.42	-15.89	-4.57	-4.57	-15.77
719.0	4903.38	-1000.0	-1389.0	16292.0	-4.87	-12.47	-4.66	-4.66	-12.62
720.0	4910.2	-1496.0	-1885.0	14824.0	-7.25	-11.84	-4.75	-4.75	-13.68
721.0	4917.05	988.0	599.0	15740.0	2.18	-17.85	-4.84	-4.84	-12.69
722.0	4923.73	304.0	-85.0	16848.0	-0.29	-17.62	-4.93	-4.93	-14.12
723.0	4930.37	-100.0	-489.0	14328.0	-1.95	-17.68	-5.04	-5.04	-15.35
724.0	4937.07	-540.0	-929.0	14832.0	-3.58	-15.71	-5.13	-5.13	-14.55
725.0	4943.76	-148.0	-537.0	15184.0	-2.03	-16.57	-5.23	-5.23	-14.17
726.0	4950.48	-16.0	-405.0	15584.0	-1.49	-16.79	-5.32	-5.32	-13.92
727.0	4957.14	-328.0	-717.0	15920.0	-2.58	-16.08	-5.41	-5.41	-13.94
728.0	4963.84	-308.0	-697.0	14868.0	-2.68	-16.26	-5.51	-5.51	-14.14
729.0	4970.55	-32.0	-421.0	14432.0	-1.67	-16.05	-5.6	-5.6	-13.11
730.0	4977.19	-620.0	-1009.0	15640.0	-3.69	-16.14	-5.69	-5.69	-14.62
731.0	4983.92	-476.0	-865.0	15288.0	-3.24	-16.53	-5.79	-5.79	-14.63
732.0	4990.62	-456.0	-845.0	15616.0	-3.1	-16.45	-5.89	-5.89	-14.36
733.0	4997.32	-368.0	-757.0	14960.0	-2.9	-16.98	-5.99	-5.99	-14.67
734.0	5004.02	-284.0	-673.0	15124.0	-2.55	-17.47	-6.09	-6.09	-14.82
735.0	5010.7	-764.0	-1153.0	15296.0	-4.31	-17.74	-6.2	-6.2	-16.32
736.0	5017.44	-736.0	-1125.0	15304.0	-4.2	-18.12	-6.31	-6.31	-16.55
737.0	5024.2	-524.0	-913.0	15392.0	-3.39	-18.57	-6.42	-6.42	-16.33
738.0	5030.89	-604.0	-993.0	14844.0	-3.83	-18.31	-6.53	-6.53	-16.28
739.0	5037.59	-688.0	-1077.0	15188.0	-4.06	-18.39	-6.64	-6.64	-16.45
740.0	5044.34	-464.0	-853.0	15304.0	-3.19	-17.83	-6.74	-6.74	-15.19
741.0	5051.04	-768.0	-1157.0	15260.0	-4.34	-17.21	-6.84	-6.84	-15.33
742.0	5057.79	-1036.0	-1425.0	15232.0	-5.34	-16.77	-6.95	-6.95	-15.58
743.0	5064.6	-1156.0	-1545.0	14928.0	-5.91	-16.13	-7.05	-7.05	-15.29
744.0	5071.41	-1316.0	-1705.0	15224.0	-6.39	-15.63	-7.15	-7.15	-15.07
745.0	5078.22	-1200.0	-1589.0	15568.0	-5.83	-15.13	-7.25	-7.25	-14.08
746.0	5085.04	-1212.0	-1601.0	15252.0	-5.99	-14.17	-7.34	-7.34	-13.17
747.0	5091.84	-1384.0	-1773.0	15100.0	-6.7	-13.28	-7.43	-7.43	-12.74
748.0	5098.66	-856.0	-1245.0	15148.0	-4.7	-12.34	-7.5	-7.5	-10.28
749.0	5105.41	-1340.0	-1729.0	15180.0	-6.5	-11.44	-7.57	-7.57	-10.64
750.0	5112.21	-1000.0	-1389.0	15108.0	-5.25	-10.15	-7.63	-7.63	-8.4
751.0	5118.98	-1120.0	-1509.0	15416.0	-5.59	-9.53	-7.68	-7.68	-7.98
752.0	5125.68	-1248.0	-1637.0	15356.0	-6.08	-8.45	-7.73	-7.73	-7.22
753.0	5132.4	-1104.0	-1493.0	15048.0	-5.67	-8.13	-7.77	-7.77	-6.55
754.0	5139.1	-1024.0	-1413.0	14892.0	-5.42	-6.99	-7.81	-7.81	-5.2
755.0	5145.8	-1488.0	-1877.0	15052.0	-7.11	-6.66	-7.85	-7.85	-6.1
756.0	5152.5	-1380.0	-1769.0	15248.0	-6.62	-6.18	-7.88	-7.88	-5.23
757.0	5159.19	-1392.0	-1781.0	15196.0	-6.68	-5.12	-7.91	-7.91	-4.2
758.0	5165.89	-1260.0	-1649.0	15304.0	-6.15	-4.31	-7.93	-7.93	-2.97
759.0	5172.58	-1260.0	-1649.0	15172.0	-6.2	-2.43	-7.94	-7.94	-1.12
760.0	5179.27	-1504.0	-1893.0	15440.0	-6.99	-0.21	-7.93	-7.93	0.5
761.0	5185.94	-1676.0	-2065.0	15308.0	-7.68	2.56	-7.92	-7.92	2.73
762.0	5192.6	-2100.0	-2489.0	15032.0	-9.4	6.45	-7.88	-7.88	5.3
763.0	5199.25	-2492.0	-2881.0	14896.0	-10.95	11.23	-7.82	-7.82	8.87
764.0	5206.03	-2948.0	-3337.0	15404.0	-12.22	16.23	-7.73	-7.73	12.9
765.0	5212.85	-2780.0	-3169.0	15244.0	-11.74	22.51	-7.6	-7.6	19.46
766.0	5219.68	-6184.0	-6573.0	14708.0	-24.08	25.28	-7.51	-7.51	13.09
767.0	5226.53	-4700.0	-5089.0	15452.0	-18.23	32.48	-7.34	-7.34	24.49
768.0	5233.37	-3304.0	-3693.0	15416.0	-13.47	40.6	-7.1	-7.1	35.92
769.0	5240.22	-676.0	-1065.0	15364.0	-3.97	45.72	-6.77	-6.77	47.78
770.0	5246.96	-2184.0	-2573.0	15428.0	-9.47	53.11	-6.43	-6.43	50.84
771.0	5253.76	-1696.0	-2085.0	15376.0	-7.72	59.41	-6.03	-6.03	58.17
772.0	5260.58	-2016.0	-2405.0	15724.0	-8.7	61.29	-5.63	-5.63	59.03
773.0	5267.39	-1468.0	-1857.0	15020.0	-7.05	66.71	-5.19	-5.19	65.34
774.0	5274.22	1484.0	1095.0	15360.0	4.08	68.53	-4.67	-4.67	74.97
775.0	5280.97	1564.0	1175.0	15580.0	4.31	68.08	-4.17	-4.17	74.39
776.0	5287.72	4116.0	3727.0	14840.0	14.1	58.06	-3.69	-3.69	71.31
777.0	5294.55	7104.0	6715.0	12140.0	28.95	61.64	-3.11	-3.11	85.23
778.0	5301.37	6256.0	5867.0	17452.0	18.58	53.66	-2.64	-2.64	69.28
779.0	5308.24	4444.0	4055.0	13212.0	17.06	47.09	-2.22	-2.22	61.2
780.0	5315.06	2400.0	2011.0	15712.0	7.29	34.18	-1.94	-1.94	40.98
781.0	5321.85	2492.0	2103.0	15364.0	7.79	24.93	-1.72	-1.72	31.97
782.0	5328.65	5480.0	5091.0	14864.0	18.91	15.02	-1.51	-1.51	30.11
783.0	5335.49	2008.0	1619.0	14364.0	6.43	-0.56	-1.48	-1.48	5.24
784.0	5342.15	4780.0	4391.0	13928.0	17.5	-15.58	-1.49	-1.49	-1.25
785.0	5348.98	4800.0	4411.0	14176.0	17.28	-29.82	-1.6	-1.6	-15.94
786.0	5355.82	1416.0	1027.0	15564.0	3.78	-46.66	-1.89	-1.89	-42.5
787.0	5362.63	-860.0	-1249.0	14948.0	-4.78	-66.94	-2.35	-2.35	-68.73
788.0	5369.41	-1244.0	-1633.0	16000.0	-5.83	-87.24	-2.96	-2.96	-89.37
789.0	5376.24	15752.0	15363.0	13908.0	47.85	-101.9	-3.4	-3.4	-64.21
790.0	5383.24	7016.0	6627.0	15000.0	23.84	-96.08	-3.93	-3.93	-76.14
791.0	5390.07	-5244.0	-5633.0	17060.0	-18.27	-101.37	-4.69	-4.69	-111.36
792.0	5397.04	-5892.0	-6281.0	15140.0	-22.53	-97.12	-5.45	-5.45	-109.44
793.0	5403.97	2528.0	2139.0	16948.0	7.19	-86.34	-5.99	-5.99	-76.79
794.0	5410.81	-14704.0	-15093.0	14040.0	-47.07	-91.83	-6.82	-6.82	-121.4
795.0	5417.82	-8380.0	-8769.0	14792.0	-30.66	-70.45	-7.43	-7.43	-87.11
796.0	5424.74	-5144.0	-5533.0	14200.0	-21.29	-57.84	-7.9	-7.9	-67.56
797.0	5431.64	1676.0	1287.0	15384.0	4.78	-53.86	-8.2	-8.2	-44.4
798.0	5438.5	-1488.0	-1877.0	14504.0	-7.37	-40.49	-8.47	-8.47	-39.68
799.0	5445.36	-2712.0	-3101.0	14136.0	-12.37	-32.5	-8.72	-8.72	-35.18
800.0	5452.28	-976.0	-1365.0	18016.0	-4.33	-14.04	-8.79	-8.79	-10.8
801.0	5459.07	2084.0	1695.0	14328.0	6.75	12.56	-8.63	-8.63	23.94
802.0	5465.86	26464.0	26075.0	14264.0	61.32	3.34	-8.26	-8.26	54.81
